Date,Open Order,Project Code,Project Name,Inch,Thickness,Weight,Total Order Bars,Total Order Weight (kg),Support Item,Final Quantity (Total Requests for Support Items in Field Operations)
2024-03-25,ORD-00261,PRJ-0008,Building Construction,12 inches,6.0 mm,0.05 tons,14,378,Clamps,94
2024-03-25,ORD-00132,PRJ-0004,Marine Pipeline Project,6 inches,25.0 mm,0.05 tons,18,342,Welding Rod,61
2024-03-26,ORD-00345,PRJ-0004,Marine Pipeline Project,1/2 inch,12.0 mm,0.03 tons,1,47,Electrical Wires,43
2024-03-26,ORD-00012,PRJ-0008,Building Construction,12 inches,7.9 mm,0.02 tons,10,270,Clamps,66
2024-03-26,ORD-00304,PRJ-0005,Irrigation System,4 inches,25.0 mm,0.05 tons,3,99,Replacement Belts,48
2024-03-26,ORD-00100,PRJ-0008,Building Construction,10 inches,17.5 mm,0.01 tons,13,351,Measuring Tape,12
2024-03-27,ORD-00066,PRJ-0010,Energy Plant Retrofit,10 inches,12.0 mm,0.04 tons,1,39,Clamps,96
2024-03-28,ORD-00172,PRJ-0008,Building Construction,6 inches,1.3 mm,0.01 tons,12,540,Safety Gloves,60
2024-03-28,ORD-00164,PRJ-0009,Infrastructure Development,1 inch,1.3 mm,0.05 tons,10,100,Pipe Coating Material,30
2024-03-28,ORD-00239,PRJ-0005,Irrigation System,1 inch,25.0 mm,0.01 tons,17,680,Clamps,87
2024-03-29,ORD-00250,PRJ-0005,Irrigation System,12 inches,7.9 mm,0.01 tons,15,390,Welding Rod,81
2024-03-29,ORD-00076,PRJ-0003,Power Plant Cooling System,24 inches,6.0 mm,0.02 tons,5,155,Safety Gloves,99
2024-03-29,ORD-00126,PRJ-0001,Oil & Gas Exploration,24 inches,1.3 mm,0.05 tons,18,756,Lubricant Spray,96
2024-03-29,ORD-00167,PRJ-0006,Industrial Plant Construction,24 inches,7.9 mm,0.03 tons,2,48,Welding Rod,59
2024-03-30,ORD-00107,PRJ-0010,Energy Plant Retrofit,6 inches,12.0 mm,0.04 tons,10,380,Machine Bearings,70
2024-04-01,ORD-00194,PRJ-0007,Water Distribution Network,4 inches,7.9 mm,0.03 tons,10,260,Cutting Blade,11
2024-04-01,ORD-00065,PRJ-0007,Water Distribution Network,24 inches,7.9 mm,0.01 tons,1,16,Grease Cartridge,64
2024-04-01,ORD-00169,PRJ-0002,Pipeline Installation,24 inches,34.0 mm,0.03 tons,16,448,Safety Goggles,30
2024-04-01,ORD-00002,PRJ-0002,Pipeline Installation,10 inches,25.0 mm,0.05 tons,13,559,Measuring Tape,73
2024-04-02,ORD-00211,PRJ-0009,Infrastructure Development,8 inches,1.3 mm,0.05 tons,1,30,Grinding Wheel,62
2024-04-02,ORD-00116,PRJ-0010,Energy Plant Retrofit,1 inch,25.0 mm,0.04 tons,6,288,Drill Bits,88
2024-04-02,ORD-00289,PRJ-0003,Power Plant Cooling System,6 inches,17.5 mm,0.02 tons,3,147,Hydraulic Oil,84
2024-04-02,ORD-00235,PRJ-0007,Water Distribution Network,2 inches,34.0 mm,0.02 tons,11,176,Grinding Wheel,14
2024-04-03,ORD-00297,PRJ-0003,Power Plant Cooling System,8 inches,34.0 mm,0.03 tons,19,513,Lubricant Spray,58
2024-04-03,ORD-00092,PRJ-0010,Energy Plant Retrofit,8 inches,34.0 mm,0.02 tons,19,437,Grinding Wheel,24
2024-04-03,ORD-00105,PRJ-0006,Industrial Plant Construction,24 inches,34.0 mm,0.01 tons,17,680,Measuring Tape,77
2024-04-03,ORD-00127,PRJ-0005,Irrigation System,6 inches,17.5 mm,0.01 tons,6,288,Clamps,67
2024-04-03,ORD-00034,PRJ-0009,Infrastructure Development,1 inch,34.0 mm,0.01 tons,2,88,Clamps,97
2024-04-04,ORD-00180,PRJ-0002,Pipeline Installation,2 inches,1.3 mm,0.03 tons,6,66,Hydraulic Oil,65
2024-04-04,ORD-00235,PRJ-0007,Water Distribution Network,24 inches,17.5 mm,0.02 tons,11,176,Grinding Wheel,14
2024-04-04,ORD-00131,PRJ-0006,Industrial Plant Construction,24 inches,7.9 mm,0.04 tons,16,576,Machine Bearings,71
2024-04-04,ORD-00208,PRJ-0004,Marine Pipeline Project,24 inches,12.0 mm,0.01 tons,14,252,Electrical Wires,99
2024-04-04,ORD-00047,PRJ-0008,Building Construction,8 inches,12.0 mm,0.05 tons,4,184,Replacement Belts,20
2024-04-04,ORD-00020,PRJ-0007,Water Distribution Network,12 inches,1.3 mm,0.01 tons,4,192,Measuring Tape,88
2024-04-05,ORD-00067,PRJ-0007,Water Distribution Network,2 inches,17.5 mm,0.05 tons,10,200,Hydraulic Oil,71
2024-04-06,ORD-00255,PRJ-0007,Water Distribution Network,1/2 inch,34.0 mm,0.05 tons,4,56,Electrical Wires,64
2024-04-06,ORD-00317,PRJ-0005,Irrigation System,24 inches,17.5 mm,0.02 tons,4,176,Safety Goggles,97
2024-04-06,ORD-00049,PRJ-0004,Marine Pipeline Project,2 inches,17.5 mm,0.03 tons,10,460,Lubricant Spray,80
2024-04-06,ORD-00114,PRJ-0008,Building Construction,12 inches,17.5 mm,0.03 tons,2,46,Drill Bits,77
2024-04-07,ORD-00276,PRJ-0001,Oil & Gas Exploration,2 inches,34.0 mm,0.04 tons,6,294,Drill Bits,57
2024-04-08,ORD-00100,PRJ-0008,Building Construction,12 inches,7.9 mm,0.01 tons,13,351,Measuring Tape,12
2024-04-09,ORD-00269,PRJ-0006,Industrial Plant Construction,8 inches,17.5 mm,0.02 tons,1,14,Clamps,88
2024-04-09,ORD-00344,PRJ-0002,Pipeline Installation,24 inches,25.0 mm,0.04 tons,14,490,Coolant,32
2024-04-10,ORD-00188,PRJ-0004,Marine Pipeline Project,24 inches,17.5 mm,0.01 tons,4,60,Safety Goggles,68
2024-04-10,ORD-00235,PRJ-0007,Water Distribution Network,6 inches,6.0 mm,0.02 tons,11,176,Grinding Wheel,14
2024-04-10,ORD-00185,PRJ-0010,Energy Plant Retrofit,6 inches,6.0 mm,0.05 tons,1,45,Hydraulic Oil,31
2024-04-11,ORD-00072,PRJ-0003,Power Plant Cooling System,12 inches,1.3 mm,0.01 tons,9,90,Clamps,59
2024-04-11,ORD-00038,PRJ-0005,Irrigation System,8 inches,7.9 mm,0.05 tons,10,430,Cutting Blade,19
2024-04-12,ORD-00062,PRJ-0006,Industrial Plant Construction,6 inches,7.9 mm,0.02 tons,14,392,Electrical Wires,98
2024-04-12,ORD-00289,PRJ-0003,Power Plant Cooling System,8 inches,1.3 mm,0.02 tons,3,147,Hydraulic Oil,84
2024-04-12,ORD-00314,PRJ-0005,Irrigation System,6 inches,17.5 mm,0.03 tons,12,444,Safety Goggles,63
2024-04-12,ORD-00096,PRJ-0002,Pipeline Installation,6 inches,7.9 mm,0.01 tons,10,280,Coolant,36
2024-04-13,ORD-00274,PRJ-0002,Pipeline Installation,24 inches,7.9 mm,0.02 tons,16,384,Hydraulic Oil,72
2024-04-13,ORD-00177,PRJ-0007,Water Distribution Network,4 inches,34.0 mm,0.05 tons,14,308,Drill Bits,11
2024-04-13,ORD-00060,PRJ-0004,Marine Pipeline Project,24 inches,12.0 mm,0.05 tons,10,230,Safety Gloves,25
2024-04-13,ORD-00217,PRJ-0004,Marine Pipeline Project,6 inches,17.5 mm,0.05 tons,19,247,Cutting Blade,47
2024-04-13,ORD-00366,PRJ-0002,Pipeline Installation,2 inches,1.3 mm,0.04 tons,18,288,Lubricant Spray,31
2024-04-14,ORD-00107,PRJ-0010,Energy Plant Retrofit,24 inches,6.0 mm,0.04 tons,10,380,Machine Bearings,70
2024-04-14,ORD-00145,PRJ-0005,Irrigation System,10 inches,12.0 mm,0.02 tons,16,672,Machine Bearings,86
2024-04-14,ORD-00353,PRJ-0009,Infrastructure Development,1/2 inch,1.3 mm,0.01 tons,17,425,Drill Bits,75
2024-04-15,ORD-00076,PRJ-0003,Power Plant Cooling System,12 inches,17.5 mm,0.02 tons,5,155,Safety Gloves,99
2024-04-15,ORD-00227,PRJ-0004,Marine Pipeline Project,1 inch,7.9 mm,0.04 tons,16,192,Pipe Coating Material,30
2024-04-15,ORD-00014,PRJ-0003,Power Plant Cooling System,8 inches,17.5 mm,0.02 tons,5,240,Lubricant Spray,21
2024-04-15,ORD-00207,PRJ-0007,Water Distribution Network,4 inches,12.0 mm,0.04 tons,11,462,Cutting Blade,44
2024-04-16,ORD-00065,PRJ-0007,Water Distribution Network,6 inches,6.0 mm,0.01 tons,1,16,Grease Cartridge,64
2024-04-17,ORD-00277,PRJ-0001,Oil & Gas Exploration,24 inches,17.5 mm,0.02 tons,18,774,Pipe Coating Material,83
2024-04-17,ORD-00173,PRJ-0009,Infrastructure Development,1/2 inch,6.0 mm,0.02 tons,19,494,Hydraulic Oil,11
2024-04-17,ORD-00107,PRJ-0010,Energy Plant Retrofit,24 inches,7.9 mm,0.04 tons,10,380,Machine Bearings,70
2024-04-17,ORD-00148,PRJ-0009,Infrastructure Development,8 inches,17.5 mm,0.04 tons,7,245,Measuring Tape,38
2024-04-17,ORD-00004,PRJ-0002,Pipeline Installation,8 inches,25.0 mm,0.01 tons,12,288,Safety Goggles,38
2024-04-18,ORD-00002,PRJ-0002,Pipeline Installation,12 inches,6.0 mm,0.05 tons,13,559,Measuring Tape,73
2024-04-18,ORD-00060,PRJ-0004,Marine Pipeline Project,1/2 inch,34.0 mm,0.05 tons,10,230,Safety Gloves,25
2024-04-19,ORD-00001,PRJ-0001,Oil & Gas Exploration,4 inches,6.0 mm,0.02 tons,13,351,Hydraulic Oil,72
2024-04-19,ORD-00317,PRJ-0005,Irrigation System,4 inches,34.0 mm,0.02 tons,4,176,Safety Goggles,97
2024-04-19,ORD-00313,PRJ-0006,Industrial Plant Construction,4 inches,7.9 mm,0.03 tons,18,252,Hydraulic Oil,96
2024-04-20,ORD-00353,PRJ-0009,Infrastructure Development,10 inches,7.9 mm,0.01 tons,17,425,Drill Bits,75
2024-04-20,ORD-00280,PRJ-0004,Marine Pipeline Project,6 inches,1.3 mm,0.02 tons,1,49,Measuring Tape,68
2024-04-21,ORD-00056,PRJ-0007,Water Distribution Network,4 inches,34.0 mm,0.01 tons,2,92,Lubricant Spray,40
2024-04-21,ORD-00063,PRJ-0004,Marine Pipeline Project,4 inches,25.0 mm,0.01 tons,6,96,Safety Goggles,45
2024-04-22,ORD-00268,PRJ-0006,Industrial Plant Construction,2 inches,1.3 mm,0.05 tons,7,105,Clamps,40
2024-04-22,ORD-00028,PRJ-0001,Oil & Gas Exploration,1 inch,1.3 mm,0.02 tons,7,217,Replacement Belts,98
2024-04-22,ORD-00329,PRJ-0008,Building Construction,2 inches,6.0 mm,0.04 tons,6,186,Welding Rod,47
2024-04-22,ORD-00275,PRJ-0005,Irrigation System,10 inches,6.0 mm,0.03 tons,8,264,Safety Goggles,49
2024-04-22,ORD-00028,PRJ-0001,Oil & Gas Exploration,6 inches,17.5 mm,0.02 tons,7,217,Replacement Belts,98
2024-04-23,ORD-00078,PRJ-0005,Irrigation System,1/2 inch,34.0 mm,0.01 tons,5,55,Lubricant Spray,66
2024-04-23,ORD-00219,PRJ-0008,Building Construction,1 inch,1.3 mm,0.02 tons,9,135,Cutting Blade,22
2024-04-23,ORD-00325,PRJ-0004,Marine Pipeline Project,6 inches,6.0 mm,0.02 tons,14,294,Measuring Tape,53
2024-04-24,ORD-00102,PRJ-0006,Industrial Plant Construction,24 inches,25.0 mm,0.03 tons,9,261,Drill Bits,53
2024-04-24,ORD-00321,PRJ-0008,Building Construction,12 inches,34.0 mm,0.03 tons,11,297,Hydraulic Oil,36
2024-04-24,ORD-00061,PRJ-0010,Energy Plant Retrofit,1 inch,25.0 mm,0.05 tons,4,140,Cutting Blade,79
2024-04-25,ORD-00296,PRJ-0003,Power Plant Cooling System,12 inches,1.3 mm,0.01 tons,13,260,Grinding Wheel,43
2024-04-25,ORD-00134,PRJ-0001,Oil & Gas Exploration,1/2 inch,34.0 mm,0.01 tons,16,448,Replacement Belts,36
2024-04-26,ORD-00366,PRJ-0002,Pipeline Installation,2 inches,34.0 mm,0.04 tons,18,288,Lubricant Spray,31
2024-04-27,ORD-00011,PRJ-0007,Water Distribution Network,8 inches,34.0 mm,0.01 tons,13,130,Clamps,24
2024-04-27,ORD-00231,PRJ-0003,Power Plant Cooling System,8 inches,25.0 mm,0.02 tons,4,180,Hydraulic Oil,55
2024-04-27,ORD-00197,PRJ-0006,Industrial Plant Construction,6 inches,34.0 mm,0.02 tons,2,56,Safety Gloves,57
2024-04-27,ORD-00252,PRJ-0001,Oil & Gas Exploration,1/2 inch,6.0 mm,0.02 tons,7,147,Replacement Belts,77
2024-04-27,ORD-00091,PRJ-0003,Power Plant Cooling System,2 inches,25.0 mm,0.04 tons,9,423,Grinding Wheel,63
2024-04-27,ORD-00143,PRJ-0008,Building Construction,24 inches,6.0 mm,0.02 tons,14,574,Welding Rod,38
2024-04-28,ORD-00316,PRJ-0001,Oil & Gas Exploration,2 inches,12.0 mm,0.01 tons,2,62,Measuring Tape,68
2024-04-29,ORD-00068,PRJ-0005,Irrigation System,10 inches,1.3 mm,0.04 tons,18,630,Safety Gloves,20
2024-04-29,ORD-00247,PRJ-0010,Energy Plant Retrofit,4 inches,34.0 mm,0.04 tons,18,792,Clamps,77
2024-04-29,ORD-00071,PRJ-0002,Pipeline Installation,1 inch,1.3 mm,0.03 tons,17,255,Hydraulic Oil,52
2024-04-29,ORD-00048,PRJ-0004,Marine Pipeline Project,2 inches,17.5 mm,0.05 tons,6,66,Clamps,22
2024-04-29,ORD-00017,PRJ-0008,Building Construction,12 inches,17.5 mm,0.02 tons,13,390,Safety Goggles,67
2024-04-30,ORD-00303,PRJ-0010,Energy Plant Retrofit,8 inches,17.5 mm,0.02 tons,3,63,Electrical Wires,94
2024-04-30,ORD-00020,PRJ-0007,Water Distribution Network,10 inches,7.9 mm,0.01 tons,4,192,Measuring Tape,88
2024-05-02,ORD-00268,PRJ-0006,Industrial Plant Construction,8 inches,1.3 mm,0.05 tons,7,105,Clamps,40
2024-05-02,ORD-00086,PRJ-0007,Water Distribution Network,6 inches,1.3 mm,0.03 tons,18,414,Electrical Wires,59
2024-05-02,ORD-00250,PRJ-0005,Irrigation System,4 inches,25.0 mm,0.01 tons,15,390,Welding Rod,81
2024-05-03,ORD-00108,PRJ-0009,Infrastructure Development,12 inches,6.0 mm,0.02 tons,7,84,Clamps,20
2024-05-03,ORD-00289,PRJ-0003,Power Plant Cooling System,24 inches,6.0 mm,0.02 tons,3,147,Hydraulic Oil,84
2024-05-04,ORD-00090,PRJ-0007,Water Distribution Network,6 inches,25.0 mm,0.01 tons,7,161,Replacement Belts,48
2024-05-04,ORD-00214,PRJ-0002,Pipeline Installation,6 inches,7.9 mm,0.04 tons,1,37,Drill Bits,14
2024-05-04,ORD-00142,PRJ-0007,Water Distribution Network,12 inches,1.3 mm,0.01 tons,14,630,Grinding Wheel,13
2024-05-04,ORD-00090,PRJ-0007,Water Distribution Network,2 inches,12.0 mm,0.01 tons,7,161,Replacement Belts,48
2024-05-06,ORD-00356,PRJ-0005,Irrigation System,8 inches,7.9 mm,0.02 tons,11,297,Coolant,74
2024-05-07,ORD-00116,PRJ-0010,Energy Plant Retrofit,2 inches,25.0 mm,0.04 tons,6,288,Drill Bits,88
2024-05-07,ORD-00151,PRJ-0003,Power Plant Cooling System,10 inches,1.3 mm,0.04 tons,4,92,Lubricant Spray,92
2024-05-07,ORD-00227,PRJ-0004,Marine Pipeline Project,10 inches,17.5 mm,0.04 tons,16,192,Pipe Coating Material,30
2024-05-08,ORD-00349,PRJ-0010,Energy Plant Retrofit,1/2 inch,1.3 mm,0.02 tons,19,285,Welding Rod,22
2024-05-08,ORD-00171,PRJ-0007,Water Distribution Network,6 inches,25.0 mm,0.05 tons,9,270,Clamps,87
2024-05-08,ORD-00058,PRJ-0008,Building Construction,2 inches,17.5 mm,0.02 tons,8,392,Safety Gloves,71
2024-05-09,ORD-00097,PRJ-0010,Energy Plant Retrofit,10 inches,25.0 mm,0.04 tons,5,135,Safety Gloves,75
2024-05-09,ORD-00316,PRJ-0001,Oil & Gas Exploration,2 inches,17.5 mm,0.01 tons,2,62,Measuring Tape,68
2024-05-09,ORD-00329,PRJ-0008,Building Construction,1/2 inch,25.0 mm,0.04 tons,6,186,Welding Rod,47
2024-05-10,ORD-00225,PRJ-0002,Pipeline Installation,8 inches,17.5 mm,0.03 tons,6,78,Electrical Wires,28
2024-05-10,ORD-00095,PRJ-0002,Pipeline Installation,24 inches,25.0 mm,0.02 tons,7,196,Hydraulic Oil,65
2024-05-10,ORD-00339,PRJ-0004,Marine Pipeline Project,2 inches,25.0 mm,0.01 tons,15,705,Measuring Tape,68
2024-05-10,ORD-00241,PRJ-0009,Infrastructure Development,1/2 inch,17.5 mm,0.01 tons,15,360,Replacement Belts,26
2024-05-10,ORD-00033,PRJ-0009,Infrastructure Development,1 inch,12.0 mm,0.02 tons,16,512,Measuring Tape,63
2024-05-10,ORD-00025,PRJ-0007,Water Distribution Network,1 inch,12.0 mm,0.04 tons,9,333,Welding Rod,40
2024-05-11,ORD-00222,PRJ-0008,Building Construction,1 inch,17.5 mm,0.05 tons,11,429,Safety Gloves,12
2024-05-11,ORD-00326,PRJ-0003,Power Plant Cooling System,8 inches,12.0 mm,0.02 tons,6,204,Machine Bearings,88
2024-05-11,ORD-00086,PRJ-0007,Water Distribution Network,2 inches,17.5 mm,0.03 tons,18,414,Electrical Wires,59
2024-05-11,ORD-00212,PRJ-0009,Infrastructure Development,24 inches,6.0 mm,0.02 tons,10,100,Welding Rod,55
2024-05-11,ORD-00265,PRJ-0005,Irrigation System,2 inches,1.3 mm,0.05 tons,18,720,Grinding Wheel,66
2024-05-12,ORD-00300,PRJ-0009,Infrastructure Development,2 inches,25.0 mm,0.02 tons,8,248,Safety Goggles,87
2024-05-12,ORD-00154,PRJ-0007,Water Distribution Network,6 inches,17.5 mm,0.03 tons,2,46,Clamps,15
2024-05-12,ORD-00159,PRJ-0010,Energy Plant Retrofit,1 inch,7.9 mm,0.01 tons,13,559,Pipe Coating Material,48
2024-05-12,ORD-00014,PRJ-0003,Power Plant Cooling System,1 inch,1.3 mm,0.02 tons,5,240,Lubricant Spray,21
2024-05-12,ORD-00104,PRJ-0007,Water Distribution Network,1 inch,17.5 mm,0.05 tons,4,140,Coolant,65
2024-05-12,ORD-00042,PRJ-0004,Marine Pipeline Project,1 inch,7.9 mm,0.05 tons,11,462,Machine Bearings,67
2024-05-13,ORD-00345,PRJ-0004,Marine Pipeline Project,1 inch,7.9 mm,0.03 tons,1,47,Electrical Wires,43
2024-05-13,ORD-00086,PRJ-0007,Water Distribution Network,1 inch,1.3 mm,0.03 tons,18,414,Electrical Wires,59
2024-05-13,ORD-00269,PRJ-0006,Industrial Plant Construction,8 inches,7.9 mm,0.02 tons,1,14,Clamps,88
2024-05-14,ORD-00159,PRJ-0010,Energy Plant Retrofit,24 inches,7.9 mm,0.01 tons,13,559,Pipe Coating Material,48
2024-05-14,ORD-00140,PRJ-0007,Water Distribution Network,1/2 inch,25.0 mm,0.05 tons,13,195,Hydraulic Oil,12
2024-05-14,ORD-00128,PRJ-0004,Marine Pipeline Project,1 inch,25.0 mm,0.03 tons,8,192,Safety Gloves,58
2024-05-14,ORD-00060,PRJ-0004,Marine Pipeline Project,12 inches,1.3 mm,0.05 tons,10,230,Safety Gloves,25
2024-05-15,ORD-00293,PRJ-0005,Irrigation System,1 inch,6.0 mm,0.02 tons,6,294,Pipe Coating Material,27
2024-05-15,ORD-00332,PRJ-0005,Irrigation System,2 inches,25.0 mm,0.03 tons,8,120,Grease Cartridge,28
2024-05-15,ORD-00229,PRJ-0008,Building Construction,12 inches,17.5 mm,0.05 tons,3,30,Electrical Wires,72
2024-05-15,ORD-00110,PRJ-0005,Irrigation System,6 inches,12.0 mm,0.03 tons,16,192,Safety Gloves,85
2024-05-15,ORD-00220,PRJ-0005,Irrigation System,2 inches,1.3 mm,0.01 tons,3,90,Grease Cartridge,22
2024-05-16,ORD-00026,PRJ-0005,Irrigation System,6 inches,12.0 mm,0.05 tons,1,48,Grease Cartridge,29
2024-05-16,ORD-00240,PRJ-0005,Irrigation System,24 inches,7.9 mm,0.03 tons,8,208,Grease Cartridge,84
2024-05-16,ORD-00005,PRJ-0004,Marine Pipeline Project,12 inches,7.9 mm,0.05 tons,16,256,Grinding Wheel,16
2024-05-16,ORD-00021,PRJ-0005,Irrigation System,1/2 inch,7.9 mm,0.05 tons,9,369,Lubricant Spray,44
2024-05-16,ORD-00296,PRJ-0003,Power Plant Cooling System,8 inches,7.9 mm,0.01 tons,13,260,Grinding Wheel,43
2024-05-18,ORD-00287,PRJ-0008,Building Construction,10 inches,17.5 mm,0.04 tons,13,182,Replacement Belts,77
2024-05-18,ORD-00207,PRJ-0007,Water Distribution Network,2 inches,1.3 mm,0.04 tons,11,462,Cutting Blade,44
2024-05-19,ORD-00264,PRJ-0001,Oil & Gas Exploration,8 inches,7.9 mm,0.02 tons,15,510,Lubricant Spray,18
2024-05-21,ORD-00107,PRJ-0010,Energy Plant Retrofit,10 inches,34.0 mm,0.04 tons,10,380,Machine Bearings,70
2024-05-21,ORD-00213,PRJ-0005,Irrigation System,2 inches,7.9 mm,0.04 tons,1,17,Safety Goggles,91
2024-05-21,ORD-00089,PRJ-0004,Marine Pipeline Project,1/2 inch,17.5 mm,0.05 tons,1,37,Safety Gloves,78
2024-05-21,ORD-00306,PRJ-0010,Energy Plant Retrofit,6 inches,25.0 mm,0.01 tons,19,228,Cutting Blade,72
2024-05-21,ORD-00283,PRJ-0009,Infrastructure Development,6 inches,6.0 mm,0.05 tons,18,648,Welding Rod,47
2024-05-22,ORD-00329,PRJ-0008,Building Construction,1/2 inch,34.0 mm,0.04 tons,6,186,Welding Rod,47
2024-05-22,ORD-00168,PRJ-0003,Power Plant Cooling System,24 inches,7.9 mm,0.03 tons,13,260,Safety Gloves,43
2024-05-22,ORD-00199,PRJ-0002,Pipeline Installation,8 inches,7.9 mm,0.03 tons,4,148,Replacement Belts,36
2024-05-22,ORD-00196,PRJ-0004,Marine Pipeline Project,10 inches,6.0 mm,0.04 tons,17,221,Lubricant Spray,20
2024-05-22,ORD-00177,PRJ-0007,Water Distribution Network,4 inches,6.0 mm,0.05 tons,14,308,Drill Bits,11
2024-05-23,ORD-00159,PRJ-0010,Energy Plant Retrofit,6 inches,6.0 mm,0.01 tons,13,559,Pipe Coating Material,48
2024-05-23,ORD-00157,PRJ-0006,Industrial Plant Construction,1/2 inch,34.0 mm,0.04 tons,12,588,Welding Rod,12
2024-05-23,ORD-00062,PRJ-0006,Industrial Plant Construction,8 inches,1.3 mm,0.02 tons,14,392,Electrical Wires,98
2024-05-23,ORD-00356,PRJ-0005,Irrigation System,6 inches,7.9 mm,0.02 tons,11,297,Coolant,74
2024-05-24,ORD-00290,PRJ-0005,Irrigation System,2 inches,25.0 mm,0.05 tons,2,84,Lubricant Spray,44
2024-05-25,ORD-00077,PRJ-0010,Energy Plant Retrofit,6 inches,12.0 mm,0.03 tons,12,564,Grease Cartridge,65
2024-05-25,ORD-00107,PRJ-0010,Energy Plant Retrofit,1/2 inch,34.0 mm,0.04 tons,10,380,Machine Bearings,70
2024-05-25,ORD-00061,PRJ-0010,Energy Plant Retrofit,24 inches,6.0 mm,0.05 tons,4,140,Cutting Blade,79
2024-05-26,ORD-00274,PRJ-0002,Pipeline Installation,10 inches,6.0 mm,0.02 tons,16,384,Hydraulic Oil,72
2024-05-26,ORD-00241,PRJ-0009,Infrastructure Development,12 inches,25.0 mm,0.01 tons,15,360,Replacement Belts,26
2024-05-26,ORD-00037,PRJ-0003,Power Plant Cooling System,12 inches,12.0 mm,0.03 tons,15,645,Clamps,66
2024-05-27,ORD-00291,PRJ-0009,Infrastructure Development,2 inches,25.0 mm,0.01 tons,4,176,Replacement Belts,98
2024-05-27,ORD-00346,PRJ-0005,Irrigation System,1 inch,1.3 mm,0.02 tons,3,81,Drill Bits,62
2024-05-27,ORD-00034,PRJ-0009,Infrastructure Development,24 inches,12.0 mm,0.01 tons,2,88,Clamps,97
2024-05-27,ORD-00340,PRJ-0003,Power Plant Cooling System,1 inch,6.0 mm,0.01 tons,1,19,Hydraulic Oil,77
2024-05-28,ORD-00040,PRJ-0010,Energy Plant Retrofit,1 inch,17.5 mm,0.02 tons,19,931,Clamps,85
2024-05-28,ORD-00167,PRJ-0006,Industrial Plant Construction,6 inches,25.0 mm,0.03 tons,2,48,Welding Rod,59
2024-05-28,ORD-00109,PRJ-0005,Irrigation System,12 inches,1.3 mm,0.05 tons,1,30,Grease Cartridge,45
2024-05-28,ORD-00278,PRJ-0010,Energy Plant Retrofit,24 inches,7.9 mm,0.05 tons,3,141,Electrical Wires,44
2024-05-28,ORD-00363,PRJ-0003,Power Plant Cooling System,24 inches,34.0 mm,0.05 tons,5,60,Hydraulic Oil,63
2024-05-29,ORD-00105,PRJ-0006,Industrial Plant Construction,12 inches,7.9 mm,0.01 tons,17,680,Measuring Tape,77
2024-05-29,ORD-00216,PRJ-0002,Pipeline Installation,24 inches,1.3 mm,0.02 tons,15,270,Clamps,13
2024-05-29,ORD-00265,PRJ-0005,Irrigation System,8 inches,17.5 mm,0.05 tons,18,720,Grinding Wheel,66
2024-05-30,ORD-00084,PRJ-0006,Industrial Plant Construction,10 inches,25.0 mm,0.02 tons,11,451,Grinding Wheel,87
2024-05-30,ORD-00350,PRJ-0008,Building Construction,8 inches,25.0 mm,0.01 tons,11,484,Grinding Wheel,75
2024-05-30,ORD-00214,PRJ-0002,Pipeline Installation,12 inches,12.0 mm,0.04 tons,1,37,Drill Bits,14
2024-05-31,ORD-00164,PRJ-0009,Infrastructure Development,6 inches,6.0 mm,0.05 tons,10,100,Pipe Coating Material,30
2024-05-31,ORD-00156,PRJ-0009,Infrastructure Development,2 inches,17.5 mm,0.04 tons,12,492,Lubricant Spray,66
2024-05-31,ORD-00123,PRJ-0010,Energy Plant Retrofit,4 inches,17.5 mm,0.02 tons,17,748,Cutting Blade,62
2024-06-02,ORD-00153,PRJ-0008,Building Construction,1 inch,1.3 mm,0.02 tons,4,60,Lubricant Spray,62
2024-06-02,ORD-00340,PRJ-0003,Power Plant Cooling System,10 inches,6.0 mm,0.01 tons,1,19,Hydraulic Oil,77
2024-06-02,ORD-00304,PRJ-0005,Irrigation System,12 inches,25.0 mm,0.05 tons,3,99,Replacement Belts,48
2024-06-02,ORD-00020,PRJ-0007,Water Distribution Network,24 inches,12.0 mm,0.01 tons,4,192,Measuring Tape,88
2024-06-03,ORD-00290,PRJ-0005,Irrigation System,2 inches,7.9 mm,0.05 tons,2,84,Lubricant Spray,44
2024-06-03,ORD-00347,PRJ-0006,Industrial Plant Construction,1/2 inch,6.0 mm,0.05 tons,4,124,Electrical Wires,48
2024-06-04,ORD-00292,PRJ-0002,Pipeline Installation,6 inches,34.0 mm,0.02 tons,3,126,Grease Cartridge,92
2024-06-04,ORD-00090,PRJ-0007,Water Distribution Network,6 inches,1.3 mm,0.01 tons,7,161,Replacement Belts,48
2024-06-04,ORD-00030,PRJ-0009,Infrastructure Development,2 inches,34.0 mm,0.01 tons,2,80,Grinding Wheel,47
2024-06-05,ORD-00226,PRJ-0003,Power Plant Cooling System,2 inches,6.0 mm,0.04 tons,3,90,Coolant,32
2024-06-05,ORD-00032,PRJ-0004,Marine Pipeline Project,6 inches,12.0 mm,0.01 tons,13,572,Cutting Blade,18
2024-06-05,ORD-00242,PRJ-0002,Pipeline Installation,1/2 inch,7.9 mm,0.01 tons,1,22,Pipe Coating Material,78
2024-06-06,ORD-00059,PRJ-0004,Marine Pipeline Project,4 inches,7.9 mm,0.02 tons,16,160,Grinding Wheel,49
